field,biome,country,pesticide_kg_ha,nearbyorg,pest_abu_ha
organic,boreal,V,1.133,0.42,268.7
organic,temperate,T,0.94,0.42,269.6
organic,boreal,B,1.227,0.65,271.8
conventional,temperate,Q,3.944,0.01,230.4
organic,boreal,K,1.4,0.35,284.6
conventional,boreal,T,1.454,0.02,244.5
conventional,temperate,X,0.965,0.07,237.1
conventional,tropical,T,3.978,0.04,352.4
organic,temperate,K,0.635,0.37,264.6
organic,temperate,G,1.169,0.37,306.8
conventional,tropical,M,2.192,0.01,344.1
conventional,tropical,I,3.34,0.01,363.3
conventional,boreal,O,2.261,0.02,206.2
organic,tropical,F,1.37,0.55,351.2
conventional,tropical,G,2.855,0.13,339
organic,temperate,B,0.618,0.58,282.1
conventional,temperate,N,0.309,0.02,296.1
organic,tropical,S,1.701,0.56,340.5
organic,boreal,R,0.717,0.38,265.1
organic,temperate,I,1.673,0.46,255.6
organic,tropical,R,2.489,0.49,360.2
conventional,tropical,I,3.12,0,344.9
organic,temperate,N,0.635,0.5,283
organic,temperate,H,0.573,0.49,302.2
organic,temperate,T,1.016,0.45,290.2
conventional,temperate,P,4.024,0.01,222.9
conventional,temperate,N,1.26,0.03,285.8
organic,tropical,E,1.741,0.33,369.5
conventional,tropical,E,3.303,0.03,318
organic,tropical,C,1.681,0.39,389
conventional,tropical,T,4.567,0,359.6
organic,tropical,R,2.249,0.36,346.5
conventional,boreal,H,2.328,0.09,230.5
conventional,temperate,B,2.615,0.01,242.6
organic,temperate,U,0.477,0.46,279.1
organic,temperate,Y,1.107,0.26,319.8
organic,tropical,A,1.536,0.43,360.7
organic,boreal,B,0.205,0.31,264.4
conventional,boreal,T,0.975,0.05,211.8
organic,temperate,N,0.841,0.52,276.7
conventional,tropical,Z,3.835,0.05,351.2
conventional,boreal,A,1.527,0.07,243.1
organic,temperate,R,1.267,0.61,268.3
organic,tropical,E,1.354,0.31,355.3
organic,tropical,U,1.556,0.39,389.5
organic,tropical,F,2.287,0.55,335.7
conventional,boreal,A,1.95,0.06,220.7
organic,tropical,U,2.194,0.34,364.5
organic,tropical,G,1.074,0.36,389.7
conventional,tropical,B,3.561,0.07,296.4
organic,tropical,T,2.145,0.52,352.5
organic,tropical,T,1.199,0.49,354.4
organic,boreal,A,0.007,0.45,263
organic,tropical,X,1.464,0.43,369.2
conventional,temperate,D,0.979,0.02,285.2
organic,boreal,W,0.345,0.48,228.3
conventional,temperate,U,1.05,0.04,251.2
organic,tropical,N,2.413,0.35,327.3
organic,temperate,M,0.679,0.33,327.9
conventional,temperate,T,2.676,0.03,261.1
conventional,boreal,V,3.279,0.02,238
organic,tropical,E,1.436,0.42,391.1
organic,boreal,J,0.521,0.57,204.5
conventional,boreal,F,2.647,0.05,211.3
organic,temperate,W,1.292,0.3,314
organic,boreal,O,1.105,0.46,213.1
organic,boreal,L,1.039,0.45,269
conventional,tropical,N,5.378,0.02,329.5
organic,temperate,I,1.099,0.35,276.7
organic,temperate,R,0.393,0.41,314
organic,boreal,H,1.186,0.53,201.5
organic,temperate,R,1.807,0.43,226.2
conventional,tropical,F,3.846,0.01,267.4
conventional,boreal,R,2.132,0.01,241.6
organic,temperate,R,0.648,0.58,282.2
conventional,tropical,O,2.857,0.01,366.1
conventional,temperate,M,0.147,0.03,276.9
conventional,temperate,V,2.018,0.05,256.8
conventional,temperate,J,2.474,0.02,268.6
organic,boreal,P,0.147,0.46,282.2
conventional,temperate,Q,3.228,0.01,229.4
conventional,temperate,H,1.609,0.04,235.6
conventional,tropical,E,2.78,0.04,352.5
organic,tropical,N,1.302,0.43,368.1
organic,tropical,X,1.748,0.41,369.9
conventional,temperate,X,2.06,0.05,263.2
organic,boreal,B,1.023,0.33,255.6
conventional,boreal,Q,2.075,0.01,216
conventional,temperate,F,2.772,0,245.4
organic,tropical,P,1.701,0.44,357
conventional,tropical,C,4.76,0.03,323.2
conventional,temperate,C,2.054,0.08,279.7
organic,temperate,T,0.798,0.41,284.4
organic,boreal,J,0.599,0.55,258.3
conventional,tropical,V,3.422,0.01,348.3
organic,boreal,S,1.218,0.29,266.8
organic,temperate,J,0.61,0.58,290.8
organic,temperate,Y,0.194,0.58,288.3
conventional,temperate,M,1.016,0.01,317.4
conventional,temperate,V,3.276,0.02,206.3
organic,temperate,U,0.484,0.36,290.2
conventional,boreal,P,0.372,0,287.4
conventional,tropical,Y,3.354,0.01,326.3
organic,temperate,T,0.778,0.41,324.5
organic,tropical,F,2.335,0.25,392.2
organic,temperate,V,0.796,0.38,388.7
conventional,tropical,Y,3.602,0,310.4
conventional,tropical,F,1.463,0,359.9
conventional,boreal,D,2.821,0.03,232.2
conventional,boreal,V,3.003,0.02,210
organic,tropical,L,1.454,0.35,372.6
organic,temperate,F,0.909,0.59,273.3
conventional,temperate,M,3.292,0.03,217.8
conventional,tropical,U,0.579,0.04,384.6
conventional,temperate,O,1.998,0.02,272.2
organic,temperate,N,0.732,0.28,285.4
conventional,boreal,I,1.388,0.03,255.4
organic,boreal,J,1.296,0.4,264.9
conventional,temperate,T,2.414,0.04,312.7
organic,temperate,L,1.279,0.47,270.2
organic,temperate,S,1.064,0.38,291.3
organic,boreal,Z,0.546,0.51,244.4
conventional,boreal,H,3.542,0.02,200.1
conventional,tropical,I,3.893,0.01,367.4
organic,temperate,T,1.222,0.55,295.5
organic,temperate,A,1.082,0.41,295.9
organic,tropical,N,1.831,0.59,327.6
conventional,boreal,U,2.811,0,200.3
organic,boreal,G,0.801,0.19,286.5
conventional,tropical,D,3.845,0.09,330.5
conventional,boreal,F,4.03,0.01,187.8
conventional,temperate,J,3.653,0.02,223.6
conventional,tropical,J,4.546,0.01,301.8
conventional,tropical,A,1.364,0.03,350.8
conventional,tropical,C,2.794,0.06,332.7
conventional,tropical,A,3.637,0.04,313.2
organic,boreal,N,2.14,0.53,245.9
conventional,temperate,V,3.844,0.02,220.4
conventional,temperate,Y,1.973,0,253.8
conventional,boreal,Z,3.062,0,262.6
organic,tropical,X,1.495,0.52,388.8
conventional,boreal,E,0.514,0.04,244.3
conventional,temperate,G,2.085,0.01,252
conventional,tropical,A,4.411,0.02,301.4
conventional,boreal,S,0.824,0,259.3
conventional,tropical,Z,2.803,0.01,343.1
organic,boreal,V,0.236,0.44,255
conventional,boreal,L,0.965,0.06,237.5
organic,tropical,S,1.731,0.42,387.3
conventional,boreal,V,1.309,0.01,206.8
organic,temperate,Y,0.703,0.33,324.9
organic,boreal,Q,0.782,0.3,252.8
organic,boreal,Q,0.251,0.45,254.5
organic,boreal,D,0.937,0.37,245.8
organic,boreal,F,0.288,0.46,248.1
organic,temperate,X,1.01,0.59,269.4
organic,tropical,D,1.861,0.26,390.9
conventional,boreal,U,2.452,0.03,194.4
conventional,boreal,S,0.694,0,224.8
conventional,temperate,N,2.706,0,285.3
organic,boreal,M,0.827,0.51,224.6
conventional,temperate,F,2.646,0,243.3
organic,temperate,G,0.699,0.34,304.8
organic,boreal,R,0.744,0.5,214.9
conventional,tropical,S,4.087,0.01,314.4
organic,tropical,N,1.738,0.32,373
conventional,boreal,Z,1.802,0.03,219.2
conventional,temperate,K,5.436,0.01,236
conventional,temperate,N,3.661,0.08,281.3
conventional,tropical,U,5.246,0.01,273.5
organic,tropical,B,1.674,0.33,338.6
organic,boreal,B,0.719,0.26,272.8
organic,temperate,N,0.706,0.51,244.5
conventional,temperate,S,1.511,0.01,279.9
conventional,temperate,W,3.135,0.02,228.8
conventional,boreal,S,1.527,0.03,230.3
conventional,tropical,B,2.791,0.01,342
organic,temperate,A,1.449,0.35,241.4
organic,temperate,Q,0.606,0.45,270.9
organic,tropical,O,1.163,0.38,400.4
organic,boreal,B,0.918,0.43,232.4
conventional,boreal,N,2.719,0.01,212.6
conventional,tropical,P,2.622,0.02,314.9
organic,tropical,B,1.493,0.26,362.6
organic,temperate,I,0.822,0.28,334.9
